fips,date,model_abbr,forecast_date,weekly_new_cases_0.01,weekly_new_cases_0.025,weekly_new_cases_0.05,weekly_new_cases_0.1,weekly_new_cases_0.15,weekly_new_cases_0.2,weekly_new_cases_0.25,weekly_new_cases_0.3,weekly_new_cases_0.35,weekly_new_cases_0.4,weekly_new_cases_0.45,weekly_new_cases_0.5,weekly_new_cases_0.55,weekly_new_cases_0.6,weekly_new_cases_0.65,weekly_new_cases_0.7,weekly_new_cases_0.75,weekly_new_cases_0.8,weekly_new_cases_0.85,weekly_new_cases_0.9,weekly_new_cases_0.95,weekly_new_cases_0.975,weekly_new_cases_0.99,weekly_new_deaths_0.01,weekly_new_deaths_0.025,weekly_new_deaths_0.05,weekly_new_deaths_0.1,weekly_new_deaths_0.15,weekly_new_deaths_0.2,weekly_new_deaths_0.25,weekly_new_deaths_0.3,weekly_new_deaths_0.35,weekly_new_deaths_0.4,weekly_new_deaths_0.45,weekly_new_deaths_0.5,weekly_new_deaths_0.55,weekly_new_deaths_0.6,weekly_new_deaths_0.65,weekly_new_deaths_0.7,weekly_new_deaths_0.75,weekly_new_deaths_0.8,weekly_new_deaths_0.85,weekly_new_deaths_0.9,weekly_new_deaths_0.95,weekly_new_deaths_0.975,weekly_new_deaths_0.99
01053,2020-11-09,COVIDhub-ensemble,2020-11-02,,7,,17,,,29,,,,,39,,,,,45,,,59,,85,,,,,,,,,,,,,,,,,,,,,,,,
01053,2020-11-16,COVIDhub-ensemble,2020-11-02,,0,,10,,,24,,,,,38,,,,,53,,,75,,104,,,,,,,,,,,,,,,,,,,,,,,,
01053,2020-11-23,COVIDhub-ensemble,2020-11-02,,0,,5,,,23,,,,,37,,,,,56,,,80,,101,,,,,,,,,,,,,,,,,,,,,,,,
01053,2020-11-30,COVIDhub-ensemble,2020-11-02,,0,,7,,,22,,,,,37,,,,,59,,,81,,99,,,,,,,,,,,,,,,,,,,,,,,,
01055,2020-11-09,COVIDhub-ensemble,2020-11-02,,95,,164,,,200,,,,,242,,,,,303,,,352,,440,,,,,,,,,,,,,,,,,,,,,,,,
01055,2020-11-16,COVIDhub-ensemble,2020-11-02,,72,,118,,,182,,,,,240,,,,,326,,,419,,539,,,,,,,,,,,,,,,,,,,,,,,,
01055,2020-11-23,COVIDhub-ensemble,2020-11-02,,48,,89,,,169,,,,,245,,,,,360,,,455,,575,,,,,,,,,,,,,,,,,,,,,,,,
01055,2020-11-30,COVIDhub-ensemble,2020-11-02,,58,,112,,,166,,,,,239,,,,,307,,,385,,452,,,,,,,,,,,,,,,,,,,,,,,,
01057,2020-11-09,COVIDhub-ensemble,2020-11-02,,4,,10,,,17,,,,,34,,,,,41,,,49,,63,,,,,,,,,,,,,,,,,,,,,,,,
01057,2020-11-16,COVIDhub-ensemble,2020-11-02,,2,,13,,,24,,,,,34,,,,,44,,,51,,65,,,,,,,,,,,,,,,,,,,,,,,,
01057,2020-11-23,COVIDhub-ensemble,2020-11-02,,0,,7,,,18,,,,,34,,,,,46,,,57,,67,,,,,,,,,,,,,,,,,,,,,,,,
01057,2020-11-30,COVIDhub-ensemble,2020-11-02,,0,,6,,,17,,,,,34,,,,,48,,,62,,72,,,,,,,,,,,,,,,,,,,,,,,,
01059,2020-11-09,COVIDhub-ensemble,2020-11-02,,33,,40,,,52,,,,,69,,,,,86,,,105,,120,,,,,,,,,,,,,,,,,,,,,,,,
01059,2020-11-16,COVIDhub-ensemble,2020-11-02,,5,,29,,,43,,,,,67,,,,,98,,,110,,130,,,,,,,,,,,,,,,,,,,,,,,,
01059,2020-11-23,COVIDhub-ensemble,2020-11-02,,4,,23,,,42,,,,,66,,,,,94,,,108,,122,,,,,,,,,,,,,,,,,,,,,,,,
01059,2020-11-30,COVIDhub-ensemble,2020-11-02,,2,,19,,,37,,,,,67,,,,,93,,,112,,126,,,,,,,,,,,,,,,,,,,,,,,,
01061,2020-11-09,COVIDhub-ensemble,2020-11-02,,9,,30,,,47,,,,,66,,,,,90,,,114,,144,,,,,,,,,,,,,,,,,,,,,,,,
01061,2020-11-16,COVIDhub-ensemble,2020-11-02,,2,,23,,,39,,,,,71,,,,,103,,,130,,165,,,,,,,,,,,,,,,,,,,,,,,,
01061,2020-11-23,COVIDhub-ensemble,2020-11-02,,2,,17,,,39,,,,,71,,,,,109,,,140,,181,,,,,,,,,,,,,,,,,,,,,,,,
01061,2020-11-30,COVIDhub-ensemble,2020-11-02,,1,,17,,,37,,,,,70,,,,,114,,,148,,193,,,,,,,,,,,,,,,,,,,,,,,,
01063,2020-11-09,COVIDhub-ensemble,2020-11-02,,0,,0,,,0,,,,,6,,,,,13,,,16,,22,,,,,,,,,,,,,,,,,,,,,,,,
